CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;AUTONOMO (PARTIDO DE LOS AUTÓNOMOS Y PROFESIONALES);BNG(BLOQUE NACIONALISTA GALEGO) ;DPG (DEMOCRACIA PROGRESISTA GALEGA);EdeG (ESQUERDA DE GALICIA);FPG (FRENTE POPULAR GALEGA);IU-EU (ESQUERDA UNIDA-IZQUIERDA UNIDA);PH(PARTIDO HUMANISTA);PP (PARTIDO POPULAR);PSdeG-PSOE(PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALISTA OBRERO ESPAÑOL)  ;SDD(PARTIDO SOCIAL Y DEMOCRÁTICO DE DERECHO) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;86;86;Trazo;3203;1954;1249;27;8;1919;1946;3;347;10;5;3;0;4;1206;341;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;87;87;Valdoviño;6023;3314;2709;44;22;3248;3292;9;667;6;11;4;13;4;1924;610;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;88;88;Val do Dubra;4165;2493;1672;23;10;2460;2483;7;467;5;7;5;4;2;1467;496;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;89;89;Vedra;4326;2856;1470;54;12;2790;2844;5;503;8;6;6;6;16;1700;540;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;90;90;Vilasantar;1471;918;553;10;6;902;912;0;255;2;0;0;0;2;544;99;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;91;91;Vilarmaior;1241;725;516;9;7;709;718;0;160;0;2;3;10;5;404;125;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;92;92;Vimianzo;7109;4798;2311;23;26;4749;4772;14;1059;2;6;9;9;8;1785;1857;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;93;93;Zas;5232;3374;1858;33;20;3321;3354;9;722;6;1;5;4;6;2118;450;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;901;901;Cariño;4286;2565;1721;51;16;2498;2549;21;606;7;4;1;4;3;1223;629;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;990;990;C.E.R.A. A Coruña;98291;25898;72393;111;487;25300;25411;149;1734;121;78;90;267;282;17583;4996;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;1;1;Abadín;3062;1724;1338;16;7;1701;1717;3;398;2;1;5;2;1;1087;202;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;2;2;Alfoz;2131;1620;511;17;9;1594;1611;5;208;1;1;3;1;1;1016;358;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;3;3;Antas de Ulla;2417;1638;779;10;8;1620;1630;4;259;33;0;9;3;3;1098;211;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;4;4;Baleira;1665;1227;438;6;9;1212;1218;1;192;2;0;3;0;1;791;222;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;5;5;Barreiros;3035;2266;769;20;12;2234;2254;4;591;4;2;4;6;6;1278;339;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;6;6;Becerreá;3333;2006;1327;8;20;1978;1986;2;473;2;5;4;7;3;1005;477;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;7;7;Begonte;3387;2664;723;32;34;2598;2630;0;280;1;2;0;0;2;1959;354;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
